shot_id,sequence_id,duration_seconds,dramatic_stage,dramatic_beat,visual_subtext,composition,camera,camera_psychology,screen_action,sound_detail,sound_perspective,cut_motivation,continuity_anchor,transition_role,religious_visual_safety,master_lock_status
ADAM-DC2-S12-SH03,ADAM-SEQUENCE-12,18,pressure,فتح الجنة بوصفها عالمًا حيًا,النعيم يُعاش في البيئة لا في الزينة وحدها,حديقة مترامية بطبقات ماء وأشجار ومرتفعات وضوء يتحرك مع السحب.,طيران طويل بين الطبقات ينتهي عند مرج مفتوح.,الحركة تخدم «فتح الجنة بوصفها عالمًا حيًا»؛ أي حركة لا تغيّر الإدراك أو الضغط تُرفض.,تفتح الأزهار مع مرور الضوء وتتحرك الحيوانات العادية بعيدًا.,ماء وطيور وريح بتفاصيل واسعة.,الصوت يبدأ من مادة اللقطة (ماء وطيور وريح بتفاصيل واسعة.) ثم يفتح أو يضغط المقياس.,يحدث القطع عند اكتمال التحول داخل الكادر أو انتقال ذيل الصوت، لا عند انتهاء مدة اعتباطية.,مساران في الحديقة,منح السكن عالمًا حيًا لا خلفية تجريدية.,الجنة معالجة رمزية غير قطعية.,READY_FOR_HUMAN_STORYBOARD_REVIEW
ADAM-DC2-S12-SH04,ADAM-SEQUENCE-12,18,turn,إظهار الأنس عبر استجابة المكان,حضور اثنين يغير إيقاع العالم,في المرج، مساران من العشب المنحني يتحركان معًا؛ الماء يضطرب في موضعين متجاورين.,كاميرا منخفضة تتبع الأثرين دون كشف صاحبيهما.,الحركة تخدم «إظهار الأنس عبر استجابة المكان»؛ أي حركة لا تغيّر الإدراك أو الضغط تُرفض.,تلتقي الآثار عند جدول ثم تتباعد نحو الثمر.,خطوات غير مسموعة؛ البيئة وحدها تستجيب.,الصوت يبدأ من مادة اللقطة (خطوات غير مسموعة؛ البيئة وحدها تستجيب.) ثم يفتح أو يضغط المقياس.,يحدث القطع عند اكتمال التحول داخل الكادر أو انتقال ذيل الصوت، لا عند انتهاء مدة اعتباطية.,مساران في الحديقة,إظهار الأنس والحضور الثنائي.,لا جسد أو وجه لآدم أو حواء.,READY_FOR_HUMAN_STORYBOARD_REVIEW
ADAM-DC2-S12-SH05,ADAM-SEQUENCE-12,18,bridge,إدخال العدو إلى حافة السكن,الخطر معروف قبل أن يصبح خفيًا,على حافة الحديقة، يتوقف الضوء فجأة داخل ممر بعيد ويمر ظل حراري بلا شكل.,عدسة طويلة من داخل النعيم نحو الحافة.,الحركة تخدم «إدخال العدو إلى حافة السكن»؛ أي حركة لا تغيّر الإدراك أو الضغط تُرفض.,تسكن الطيور في ذلك الاتجاه وتظهر آية التحذير.,تنخفض أصوات الطبيعة وتدخل نغمة تهديد.,الصوت يبدأ من مادة اللقطة (تنخفض أصوات الطبيعة وتدخل نغمة تهديد.) ثم يفتح أو يضغط المقياس.,يحدث القطع عند اكتمال التحول داخل الكادر أو انتقال ذيل الصوت، لا عند انتهاء مدة اعتباطية.,مساران في الحديقة,زرع العدو داخل السكن من دون ظهوره.,الظل ليس إبليس.,READY_FOR_HUMAN_STORYBOARD_REVIEW
ADAM-DC2-S13-SH01,ADAM-SEQUENCE-13,12,entry,إظهار اتساع المباح,الاختبار لا يولد من الحرمان,الجنة في أوسع صورها: أنهار ومسارات وثمر متنوع في كل اتجاه.,رافعة جوية تكشف وفرة المكان ثم تهبط إلى مسار واحد.,الحركة تخدم «إظهار اتساع المباح»؛ أي حركة لا تغيّر الإدراك أو الضغط تُرفض.,تمر الكاميرا بين عشرات الثمار من دون تفضيل نوع.,ماء وطيور وريح كاملة الطبقات.,الصوت يبدأ من مادة اللقطة (ماء وطيور وريح كاملة الطبقات.) ثم يفتح أو يضغط المقياس.,يحدث القطع عند اكتمال التحول داخل الكادر أو انتقال ذيل الصوت، لا عند انتهاء مدة اعتباطية.,خط الظل والورقة غير المميزة,تأسيس كثرة المباح قبل الحد.,تصوير رمزي للجنة.,READY_FOR_HUMAN_STORYBOARD_REVIEW
ADAM-DC2-S13-SH02,ADAM-SEQUENCE-13,18,reveal,تضييق المسار بلا حاجز مادي,الحد أخلاقي قبل أن يكون مكانيًا,المسار يضيق عند منطقة أشجار أكثر كثافة، ولا يوجد سور أو حاجز مادي.,تتبع أمامي يتباطأ كلما اقترب من خط ظل على الأرض.,الحركة تخدم «تضييق المسار بلا حاجز مادي»؛ أي حركة لا تغيّر الإدراك أو الضغط تُرفض.,تتوقف الريح عند الخط بينما تستمر خلفه.,تنخفض طبقة من أصوات الطبيعة مع كل متر.,الصوت يبدأ من مادة اللقطة (تنخفض طبقة من أصوات الطبيعة مع كل متر.) ثم يفتح أو يضغط المقياس.,يحدث القطع عند اكتمال التحول داخل الكادر أو انتقال ذيل الصوت، لا عند انتهاء مدة اعتباطية.,خط الظل والورقة غير المميزة,جعل النهي مسافة درامية لا سجنًا.,لا ادعاء شكل الحد أو الشجرة.,READY_FOR_HUMAN_STORYBOARD_REVIEW
ADAM-DC2-S13-SH03,ADAM-SEQUENCE-13,18,pressure,ترك احتمالات نوع الشجرة تتلاشى,نوع الثمرة ليس مركز المعنى,سنابل وعناقيد وتين تظهر كأصداء شفافة داخل عمق الغابة، لا كخيارات مكتوبة.,تبديل تركيز سينمائي بين الأصداء ثم العودة إلى غصن غير مميز.,الحركة تخدم «ترك احتمالات نوع الشجرة تتلاشى»؛ أي حركة لا تغيّر الإدراك أو الضغط تُرفض.,كل احتمال يقترب من الوضوح ثم يذوب قبل أن يستقر في المركز.,ثلاث خامات صوتية قصيرة تنتهي جميعًا في الصمت نفسه.,الصوت يبدأ من مادة اللقطة (ثلاث خامات صوتية قصيرة تنتهي جميعًا في الصمت نفسه.) ثم يفتح أو يضغط المقياس.,يحدث القطع عند اكتمال التحول داخل الكادر أو انتقال ذيل الصوت، لا عند انتهاء مدة اعتباطية.,خط الظل والورقة غير المميزة,صرف الانتباه عن نوع الثمرة وإعادته إلى الحد والأمر.,لا تعيين بصري لنوع الشجرة ولا ادعاء تاريخي.,READY_FOR_HUMAN_STORYBOARD_REVIEW
ADAM-DC2-S13-SH04,ADAM-SEQUENCE-13,18,turn,تثبيت الكاميرا عند الحد,الطاعة تظهر في المسافة التي لا تُقطع,تعود الغابة بلا ثمرة واضحة؛ الكاميرا تصل إلى خط الظل وتتوقف تمامًا.,دوللي أمامي ينتهي على مسافة محسوبة من الأوراق.,الحركة تخدم «تثبيت الكاميرا عند الحد»؛ أي حركة لا تغيّر الإدراك أو الضغط تُرفض.,تظهر الآية في الفراغ بين العدسة والمنطقة المحظورة.,تختفي أصوات الماء والطيور ويبقى النفس.,الصوت يبدأ من مادة اللقطة (تختفي أصوات الماء والطيور ويبقى النفس.) ثم يفتح أو يضغط المقياس.,يحدث القطع عند اكتمال التحول داخل الكادر أو انتقال ذيل الصوت، لا عند انتهاء مدة اعتباطية.,خط الظل والورقة غير المميزة,رفع التوتر عند الحد.,لا تصوير لآدم أو حواء أو فعل اقتراب.,READY_FOR_HUMAN_STORYBOARD_REVIEW
ADAM-DC2-S13-SH05,ADAM-SEQUENCE-13,18,bridge,تسليم السكون إلى أثر الوسوسة,الخطر يعرف أين يضغط قبل أن يتكلم,ورقة غير مميزة تهتز عند عمق الغابة، ثم تسكن قبل أن يلمسها شيء.,ماكرو ثابت مع عمق ميدان ضيق.,الحركة تخدم «تسليم السكون إلى أثر الوسوسة»؛ أي حركة لا تغيّر الإدراك أو الضغط تُرفض.,يمر اضطراب هواء من الخلف إلى الأمام.,احتكاك ورقة ثم قطع.,الصوت يبدأ من مادة اللقطة (احتكاك ورقة ثم قطع.) ثم يفتح أو يضغط المقياس.,يحدث القطع عند اكتمال التحول داخل الكادر أو انتقال ذيل الصوت، لا عند انتهاء مدة اعتباطية.,خط الظل والورقة غير المميزة,التوقف قبل الوسوسة.,لا تحديد لنوع الشجرة ولا حضور مرئي للعدو.,READY_FOR_HUMAN_STORYBOARD_REVIEW
ADAM-DC2-S14-SH01,ADAM-SEQUENCE-14,8,entry,استعادة سكون الورقة,المعصية لم تقع بعد,الورقة الساكنة تبقى في الكادر بعد القطع الزمني القصير.,ثبات تام مع تغير بؤرة دقيق.,الحركة تخدم «استعادة سكون الورقة»؛ أي حركة لا تغيّر الإدراك أو الضغط تُرفض.,تتحرك حافتها وحدها رغم سكون بقية الغابة.,احتكاك ورقة واحد وصمت.,الصوت يبدأ من مادة اللقطة (احتكاك ورقة واحد وصمت.) ثم يفتح أو يضغط المقياس.,يحدث القطع عند اكتمال التحول داخل الكادر أو انتقال ذيل الصوت، لا عند انتهاء مدة اعتباطية.,الورقة والباب الذهبي,الاستمرار من حد الحلقة إلى وعد التالية.,لا تجسيد للوسواس.,READY_FOR_HUMAN_STORYBOARD_REVIEW
ADAM-DC2-S14-SH02,ADAM-SEQUENCE-14,12,reveal,إدخال اضطراب لا يملك شكلًا,الشر يبدأ بإعادة ترتيب المعنى,انعكاس الممر البركاني القديم يظهر لحظة في قطرة ماء على الورقة ثم يختفي.,ماكرو مع انتقال بؤرة بين القطرة والخلفية.,الحركة تخدم «إدخال اضطراب لا يملك شكلًا»؛ أي حركة لا تغيّر الإدراك أو الضغط تُرفض.,يتشوه الانعكاس مع موجة لا يُعرف مصدرها.,عودة موتيف الرفض بنغمة خافتة.,الصوت يبدأ من مادة اللقطة (عودة موتيف الرفض بنغمة خافتة.) ثم يفتح أو يضغط المقياس.,يحدث القطع عند اكتمال التحول داخل الكادر أو انتقال ذيل الصوت، لا عند انتهاء مدة اعتباطية.,الورقة والباب الذهبي,ربط الوسوسة بعداوة إبليس دون إظهاره.,الانعكاس رمز لا كائن.,READY_FOR_HUMAN_STORYBOARD_REVIEW
ADAM-DC2-S14-SH03,ADAM-SEQUENCE-14,12,pressure,تضييق الممر نحو الهمس,الاقتراب أخطر حين يبدو نصيحة,ممر حقيقي بين الأشجار يزداد ظلمة، بينما يبقى وراءه ضوء الجنة واضحًا.,تقدم بطيء يتوقف في المنتصف ولا يدخل الظلام.,الحركة تخدم «تضييق الممر نحو الهمس»؛ أي حركة لا تغيّر الإدراك أو الضغط تُرفض.,تتحرك الأغصان كأن معنى غير مرئي مر بينها.,همس هوائي غير لغوي ولا كلمات مخترعة.,الصوت يبدأ من مادة اللقطة (همس هوائي غير لغوي ولا كلمات مخترعة.) ثم يفتح أو يضغط المقياس.,يحدث القطع عند اكتمال التحول داخل الكادر أو انتقال ذيل الصوت، لا عند انتهاء مدة اعتباطية.,الورقة والباب الذهبي,إثارة الوسوسة من خلال المكان.,لا حوار أو شخصية مرئية.,READY_FOR_HUMAN_STORYBOARD_REVIEW
ADAM-DC2-S14-SH04,ADAM-SEQUENCE-14,13,turn,شق معنى السقوط بالتوبة,التوبة جزء من أفق الإنسان قبل عرضها,كلمة «السقوط» تظهر على حجر مبلل، ثم يشقها ضوء يصنع كلمة «التوبة».,ثبات مع حركة الضوء فقط.,الحركة تخدم «شق معنى السقوط بالتوبة»؛ أي حركة لا تغيّر الإدراك أو الضغط تُرفض.,لا تمحى الكلمة الأولى؛ يُفتح فيها طريق.,نغمة رابعة جديدة بعد الموتيف الأصلي.,الصوت يبدأ من مادة اللقطة (نغمة رابعة جديدة بعد الموتيف الأصلي.) ثم يفتح أو يضغط المقياس.,يحدث القطع عند اكتمال التحول داخل الكادر أو انتقال ذيل الصوت، لا عند انتهاء مدة اعتباطية.,الورقة والباب الذهبي,وعد بأن الزلة ليست نهاية الإنسان.,تصميم مفاهيمي فقط.,READY_FOR_HUMAN_STORYBOARD_REVIEW
ADAM-DC2-S14-SH05,ADAM-SEQUENCE-14,10,bridge,إغلاق الحلقة على باب لا على هاوية,المسلسل يعد بالعودة لا باليأس,عنوان الحلقة التالية: «الوسوسة، الزلة، والتوبة».,ثبات ثم انطفاء بطيء.,الحركة تخدم «إغلاق الحلقة على باب لا على هاوية»؛ أي حركة لا تغيّر الإدراك أو الضغط تُرفض.,يظهر رقم الحلقة التالية دون أي تشغيل أو مادة مولدة.,ضربة ختامية قصيرة بلا حل كامل.,الصوت يبدأ من مادة اللقطة (ضربة ختامية قصيرة بلا حل كامل.) ثم يفتح أو يضغط المقياس.,يحدث القطع عند اكتمال التحول داخل الكادر أو انتقال ذيل الصوت، لا عند انتهاء مدة اعتباطية.,الورقة والباب الذهبي,إغلاق الحلقة وفتح الاستمرارية.,عنوان فقط.,READY_FOR_HUMAN_STORYBOARD_REVIEW
